бекон; 50;Мясные добавки;Добавки;RUB;бекон
ветчина; 50;Мясные добавки;Добавки;RUB;ветчина
жареная курица; 60;Мясные добавки;Добавки;RUB;жареная курица
копчёная курица; 60;Мясные добавки;Добавки;RUB;копчёная курица
окорок прошутто; 60;Мясные добавки;Добавки;RUB;окорок прошутто
охотничьи колбаски; 60;Мясные добавки;Добавки;RUB;охотничьи колбаски
пепперони; 50;Мясные добавки;Добавки;RUB;пепперони
сервелат; 60;Мясные добавки;Добавки;RUB;сервелат
томлёная говядина; 60;Мясные добавки;Добавки;RUB;томлёная говядина
моцарелла; 60;Сырные добавки;Добавки;RUB;моцарелла
пармезан; 70;Сырные добавки;Добавки;RUB;пармезан
чеддер; 60;Сырные добавки;Добавки;RUB;чеддер
ананасы консерв.; 80;Растительные добавки;Добавки;RUB;ананасы консерв.
артишоки; 60;Растительные добавки;Добавки;RUB;артишоки
базилик; 50;Растительные добавки;Добавки;RUB;базилик
зелень; 40;Растительные добавки;Добавки;RUB;зелень
имбирь; 20;Растительные добавки;Добавки;RUB;имбирь
красный лук; 30;Растительные добавки;Добавки;RUB;красный лук
маслины; 50;Растительные добавки;Добавки;RUB;маслины
огурцы маринов.; 50;Растительные добавки;Добавки;RUB;огурцы маринов.
огурцы свежие; 30;Растительные добавки;Добавки;RUB;огурцы свежие
огурцы солёные; 50;Растительные добавки;Добавки;RUB;огурцы солёные
оливки; 50;Растительные добавки;Добавки;RUB;оливки
перец болгарский; 50;Растительные добавки;Добавки;RUB;перец болгарский
перец консерв.; 50;Растительные добавки;Добавки;RUB;перец консерв.
перец чили; 50;Растительные добавки;Добавки;RUB;перец чили
персики консерв.; 50;Растительные добавки;Добавки;RUB;персики консерв.
помидоры вяленые; 60;Растительные добавки;Добавки;RUB;помидоры вяленые
помидоры свежие; 40;Растительные добавки;Добавки;RUB;помидоры свежие
помидоры черри; 50;Растительные добавки;Добавки;RUB;помидоры черри
руккола; 50;Растительные добавки;Добавки;RUB;руккола
креветки пивные; 180;Прочие добавки;Добавки;RUB;креветки пивные
креветки тигровые; 130;Прочие добавки;Добавки;RUB;креветки тигровые
сёмга; 150;Прочие добавки;Добавки;RUB;сёмга
шампиньоны; 50;Прочие добавки;Добавки;RUB;шампиньоны
барбекю; 50;Соусы;Добавки;RUB;барбекю
белый; 50;Соусы;Добавки;RUB;белый
вассаби; 20;Соусы;Добавки;RUB;вассаби
соевый; 30;Соусы;Добавки;RUB;соевый
табаско; 50;Соусы;Добавки;RUB;табаско